COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
AF,2017,49,52
AL,2017,50,48
AO,2017,25,84
AR,2017,50,46
AU,2017,74,12
AZ,2017,34,78
BA,2017,35,76
BD,2017,41,66
BF,2017,24,85
BG,2017,66,21
BI,2017,7,100
BJ,2017,39,72
BO,2017,10,94
BR,2017,77,7
BW,2017,8,95
CA,2017,71,16
CD,2017,29,82
CI,2017,24,86
CL,2017,57,35
CM,2017,7,100
CN,2017,13,92
CO,2017,50,49
CR,2017,56,36
CZ,2017,61,25
DE,2017,69,18
DO,2017,66,20
DZ,2017,3,103
EC,2017,49,51
EG,2017,41,65
ES,2017,54,40
FJ,2017,41,68
FR,2017,74,11
GB,2017,74,10
GE,2017,82,5
GH,2017,50,45
GQ,2017,0,112
GT,2017,61,26
HN,2017,54,41
HR,2017,57,34
HU,2017,46,57
ID,2017,64,23
IN,2017,48,53
IQ,2017,3,104
IT,2017,73,13
JO,2017,63,24
JP,2017,60,27
KE,2017,46,54
KG,2017,55,38
KH,2017,20,89
KM,2017,8,97
KR,2017,60,27
KZ,2017,53,42
LB,2017,3,104
LK,2017,44,60
LR,2017,36,75
LS,2017,0,112
MA,2017,45,58
MD,2017,58,33
MG,2017,34,77
MK,2017,37,74
ML,2017,39,70
MM,2017,7,99
MN,2017,46,56
MW,2017,26,83
MX,2017,79,6
MY,2017,46,54
MZ,2017,41,67
NA,2017,50,47
NE,2017,0,110
NG,2017,17,90
NI,2017,43,63
NO,2017,85,4
NP,2017,52,43
NZ,2017,89,1
PE,2017,73,14
PG,2017,50,50
PH,2017,67,19
PK,2017,44,61
PL,2017,59,30
PT,2017,66,22
PY,2017,43,64
QA,2017,0,112
RO,2017,75,9
RS,2017,43,62
RU,2017,72,15
RW,2017,22,88
SA,2017,1,109
SD,2017,2,108
SE,2017,87,3
SI,2017,69,17
SK,2017,59,31
SL,2017,38,73
SN,2017,51,44
SO,2017,8,95
SS,2017,5,102
ST,2017,31,80
SV,2017,45,59
SZ,2017,3,106
TD,2017,2,107
TH,2017,56,37
TJ,2017,30,81
TL,2017,40,69
TN,2017,39,71
TR,2017,58,32
TT,2017,33,79
TZ,2017,10,93
UA,2017,54,39
UG,2017,60,29
US,2017,77,8
VE,2017,0,110
VN,2017,15,91
YE,2017,0,112
ZA,2017,89,2
ZM,2017,8,97
ZW,2017,23,87
