"","cities.city","cities.country","city_pop"
"187","Vitoria-Gasteiz","Spain",196827
"188","Zaragoza","Spain",552824
"189","Colombo","Sri Lanka",374952
"190","Basel","Switzerland",161948
"191","Geneva","Switzerland",147932
"192","Lausanne","Switzerland",94666
"193","Zurich","Switzerland",463972
"194","Arusha","Tanzania",951631
"195","Bangkok","Thailand",9017877
"196","Tunis","Tunisia",30076
"197","Carthage","Tunisia",1384117
"198","Mezitli","Turkey",768249
"199","Dubai","United Arab Emirates",3364888
"200","Birmingham","United Kingdom",1124753
"201","Brighton & Hove","United Kingdom",277065
"202","Bristol","United Kingdom",448581
"203","Glasgow","United Kingdom",618204
"204","Greater Manchester Authority","United Kingdom",2777190
"205","London","United Kingdom",8787718
"206","Austin","United States",1086835
"207","Baltimore","United States",638642
"208","Chicago","United States",2785453
"209","Los Angeles","United States",4146464
"210","Madison","United States",316605
"211","Miami","United States",502914
"212","Minneapolis","United States",497592
"213","New Haven","United States",148078
"214","New Port Richey","United States",17752
"215","New York","United States",8786052
"216","Pittsburgh","United States",408651
"217","San Francisco","United States",1002129
"218","Washington","United States",940098
"219","West Sacramento","United States",61084
"220","Kitwe","Zambia",745257
"221","Lusaka","Zambia",2107009
