COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
UG,2010,55,32
UG,2012,65,18
US,2006,81,6
US,2008,82,5
US,2010,82,7
US,2012,79,7
VE,2008,35,53
VE,2010,34,63
VE,2012,37,65
VN,2006,3,59
VN,2008,10,70
VN,2010,14,77
VN,2012,19,77
YE,2008,10,69
YE,2010,25,71
YE,2012,11,87
ZA,2006,86,4
ZA,2008,87,2
ZA,2010,92,1
ZA,2012,90,2
ZM,2006,37,40
ZM,2008,48,35
ZM,2010,36,60
ZM,2012,4,92
ZW,2012,20,75
