COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
AF,2015,42,67
AL,2015,38,73
AO,2015,26,82
AR,2015,59,25
AZ,2015,51,42
BA,2015,43,60
BD,2015,56,31
BF,2015,43,62
BG,2015,65,18
BJ,2015,45,57
BO,2015,17,88
BR,2015,77,6
BW,2015,47,48
CD,2015,39,69
CL,2015,58,28
CM,2015,44,59
CN,2015,14,92
CO,2015,57,29
CR,2015,54,35
CZ,2015,69,14
DE,2015,71,13
DO,2015,51,43
DZ,2015,19,86
EC,2015,50,44
EG,2015,16,90
ES,2015,58,27
FJ,2015,15,91
FR,2015,76,7
GB,2015,75,8
GE,2015,66,16
GH,2015,51,40
GQ,2015,4,97
GT,2015,46,51
HN,2015,43,64
HR,2015,53,36
HU,2015,49,45
ID,2015,59,26
IN,2015,46,53
IQ,2015,3,98
IT,2015,73,12
JO,2015,55,33
KE,2015,48,46
KG,2015,54,34
KH,2015,8,95
KR,2015,65,19
KZ,2015,51,41
LB,2015,2,99
LK,2015,39,70
LR,2015,38,75
MA,2015,38,74
MK,2015,35,77
ML,2015,46,49
MM,2015,2,100
MN,2015,51,39
MW,2015,65,20
MX,2015,66,17
MY,2015,46,55
MZ,2015,38,72
NA,2015,46,52
NE,2015,17,89
NG,2015,24,85
NI,2015,46,50
NO,2015,84,4
NP,2015,24,84
NZ,2015,88,1
PE,2015,75,10
PG,2015,55,32
PH,2015,64,23
PK,2015,43,63
PL,2015,64,22
PT,2015,64,21
QA,2015,0,101
RO,2015,75,9
RS,2015,47,47
RU,2015,74,11
RW,2015,36,76
SA,2015,0,101
SD,2015,10,93
SE,2015,87,2
SI,2015,68,15
SK,2015,57,30
SL,2015,52,38
SN,2015,43,61
ST,2015,29,81
SV,2015,53,37
TD,2015,4,96
TH,2015,42,65
TJ,2015,25,83
TL,2015,41,68
TN,2015,42,66
TR,2015,44,58
TT,2015,34,79
TZ,2015,46,54
UA,2015,46,56
UG,2015,62,24
US,2015,81,5
VE,2015,8,94
VN,2015,18,87
YE,2015,34,80
ZA,2015,86,3
ZM,2015,39,70
ZW,2015,35,78
