COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
AF,2021,43,70
AL,2021,52,49
AM,2021,61,33
AO,2021,30,94
AR,2021,50,52
AU,2021,79,8
AZ,2021,57,44
BA,2021,32,86
BD,2021,30,95
BF,2021,31,90
BG,2021,71,16
BI,2021,9,108
BJ,2021,65,22
BO,2021,20,102
BR,2021,80,7
BW,2021,34,82
CA,2021,31,89
CD,2021,42,71
CI,2021,47,56
CL,2021,60,40
CM,2021,34,83
CN,2021,20,103
CO,2021,50,54
CR,2021,63,27
CZ,2021,60,39
DE,2021,73,14
DO,2021,77,9
DZ,2021,3,114
EC,2021,46,61
EG,2021,43,69
ES,2021,54,47
ET,2021,8,110
FJ,2021,37,79
FR,2021,72,15
GB,2021,74,12
GE,2021,87,1
GH,2021,56,45
GM,2021,35,81
GQ,2021,0,117
GT,2021,64,26
HN,2021,61,31
HR,2021,64,25
HU,2021,44,67
ID,2021,70,17
IN,2021,37,78
IQ,2021,6,112
IT,2021,75,10
JM,2021,50,50
JO,2021,61,32
JP,2021,61,35
KE,2021,50,53
KG,2021,62,30
KH,2021,33,85
KM,2021,0,117
KR,2021,74,11
KZ,2021,63,28
LB,2021,9,109
LK,2021,30,93
LR,2021,45,63
LS,2021,26,98
MA,2021,48,55
MD,2021,65,21
MG,2021,27,96
MK,2021,36,80
ML,2021,8,111
MM,2021,30,92
MN,2021,60,38
MW,2021,20,104
MX,2021,82,5
MY,2021,47,57
MZ,2021,45,62
NA,2021,42,72
NE,2021,27,97
NG,2021,45,65
NI,2021,42,73
NO,2021,81,6
NP,2021,39,77
NZ,2021,85,4
PE,2021,61,34
PG,2021,50,51
PH,2021,68,19
PK,2021,46,60
PL,2021,60,36
PT,2021,60,37
PY,2021,47,58
QA,2021,2,115
RO,2021,63,29
RS,2021,46,59
RU,2021,73,13
RW,2021,45,66
SA,2021,23,99
SD,2021,1,116
SE,2021,85,3
SI,2021,66,20
SK,2021,65,24
SL,2021,45,64
SN,2021,40,76
SO,2021,20,101
SS,2021,15,107
ST,2021,31,91
SV,2021,41,75
SZ,2021,31,88
TD,2021,6,113
TG,2021,31,87
TH,2021,58,42
TJ,2021,16,106
TL,2021,52,48
TN,2021,42,74
TR,2021,55,46
TT,2021,34,84
TZ,2021,21,100
UA,2021,65,23
UG,2021,58,43
US,2021,68,18
VE,2021,0,117
VN,2021,44,68
YE,2021,0,117
ZA,2021,86,2
ZM,2021,19,105
ZW,2021,59,41
