"","country","Country_Urban_Pop","Country_Total_Pop"
"209","Turkey",66835123,82323804
"210","Taiwan",23119544,23602729
"211","Tanzania",40673113,58698028
"212","Uganda",36572610,43490144
"213","Ukraine",30465747,43992213
"214","Uruguay",2971328,3409763
"215","United States",274335801,330305902
"216","Uzbekistan",27715505,30891144
"217","Saint Vincent and the Grenadines",93990,100650
"218","Venezuela",24731307,28717372
"219","Virgin Islands, U.S.",100636,106288
"220","Vietnam",91832229.5,98863024
"221","Vanuatu",264453,297972
"222","Samoa",182311,203591
"223","Akrotiri and Dhekelia",21619,29385
"224","Caspian Sea",849768,849909
"225","Kosovo",1558060,1936836
"226","Northern Cyprus",383787,473499
"227","Yemen",26040042,29895628
"228","South Africa",48236831,56581911
"229","Zambia",10573012,17626016
"230","Zimbabwe",6512743,14574969
