ISO,country,year,NCD_P,NCD_P_LCI,NCD_P_UCI,NCD_R,NCD_R_LCI,NCD_R_UCI,wb_region,incgrp,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
PAK,Pakistan,2021,3.18,3.02,3.34,1.38,1.21,1.55,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,586
PHL,Philippines,2021,3.91,3.74,4.08,3.22,3.03,3.42,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,608
RUS,Russian Federation,2021,3.24,3.16,3.32,2.88,2.78,2.98,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,643
SEN,Senegal,2021,3.61,3.4,3.82,1.67,1.51,1.83,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,686
SLE,Sierra Leone,2021,2.48,2.31,2.64,.9399999999999999,.78,1.09,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,694
TJK,Tajikistan,2021,4.16,3.96,4.36,2.98,2.69,3.27,Europe & Central Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,143,Central Asia,,,762
TUR,Türkiye,2021,4.31,4.14,4.47,2.02,1.86,2.18,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,792
TZA,United Republic of Tanzania,2021,2.88,2.7,3.06,.96,.86,1.05,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,834
UGA,Uganda,2021,3.63,3.44,3.83,1.33,1.2,1.46,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,800
USA,United States of America,2021,4,3.87,4.14,3.26,3.1,3.43,North America,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,021,Northern America,,,840
VNM,Viet Nam,2021,4.41,4.2,4.62,2.63,2.46,2.8,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,704
ZAF,South Africa,2021,3.29,3.07,3.5,3.24,2.97,3.51,Sub-Saharan Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,018,Southern Africa,710
